year,PM_lower,PM_mean,PM_upper,ISO3,Country,reporting_region_name,,,REGION,Super_region_name,SUPER-REGION,O3_mean,O3_lower,O3_upper
2010,20.45,20.96,21.49,CMR,Cameroon,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,66.97371,62.81152,71.03164
2013,20.81,21.34,21.9,CMR,Cameroon,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,67.05154,63.3188,70.97305
1990,16.67,17.02,17.37,COD,Democratic Republic of the Congo,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,63.26125,59.76377,67.13049
1995,16.53,16.88,17.23,COD,Democratic Republic of the Congo,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,63.47704,59.58993,67.35201
2000,16.48,16.83,17.17,COD,Democratic Republic of the Congo,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,63.64985,59.97151,67.26171
2005,16.2,16.54,16.86,COD,Democratic Republic of the Congo,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,63.54591,59.73054,67.29102
2010,15.85,16.18,16.5,COD,Democratic Republic of the Congo,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,63.64128,60.12536,67.30036
2013,17.69,18.08,18.47,COD,Democratic Republic of the Congo,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,63.70188,60.0461,67.51443
1990,16.41,16.76,17.1,COG,Congo,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,60.51459,56.92694,63.87204
1995,16.08,16.42,16.75,COG,Congo,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,60.83675,57.30939,64.55618
2000,15.99,16.33,16.66,COG,Congo,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,61.05378,57.30672,64.87418
2005,14.87,15.18,15.48,COG,Congo,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,61.31857,57.80833,64.9156
2010,13.85,14.13,14.41,COG,Congo,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,61.51682,57.70224,65.18213
2013,13.54,13.81,14.08,COG,Congo,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,61.64112,57.97623,65.38721
1990,8.93,9.15,9.37,COL,Colombia,"Latin America, Central",,,12,Latin America and Caribbean ,5,39.34698,37.02574,41.60135
1995,8.55,8.76,8.98,COL,Colombia,"Latin America, Central",,,12,Latin America and Caribbean ,5,40.04316,37.81198,42.4885
2000,8.89,9.11,9.33,COL,Colombia,"Latin America, Central",,,12,Latin America and Caribbean ,5,41.19339,38.62846,43.7075
2005,9.89,10.1,10.33,COL,Colombia,"Latin America, Central",,,12,Latin America and Caribbean ,5,43.20026,40.64097,45.91193
2010,11.44,11.68,11.92,COL,Colombia,"Latin America, Central",,,12,Latin America and Caribbean ,5,45.76075,42.99718,48.60877
2013,12.37,12.63,12.88,COL,Colombia,"Latin America, Central",,,12,Latin America and Caribbean ,5,47.11504,44.22993,49.95209
1990,5.55,5.75,5.96,COM,Comoros,"Sub-Saharan Africa, East",,,19,Sub-Saharan Africa,7,40.26789,37.86323,42.69619
1995,5.63,5.83,6.04,COM,Comoros,"Sub-Saharan Africa, East",,,19,Sub-Saharan Africa,7,40.25781,38.07609,42.72138
2000,5.69,5.89,6.1,COM,Comoros,"Sub-Saharan Africa, East",,,19,Sub-Saharan Africa,7,40.33549,37.81722,42.78731
2005,6.14,6.34,6.56,COM,Comoros,"Sub-Saharan Africa, East",,,19,Sub-Saharan Africa,7,40.70723,38.20901,43.15481
2010,6.44,6.65,6.87,COM,Comoros,"Sub-Saharan Africa, East",,,19,Sub-Saharan Africa,7,41.11026,38.55993,43.76672
2013,6.71,6.91,7.13,COM,Comoros,"Sub-Saharan Africa, East",,,19,Sub-Saharan Africa,7,41.27827,38.96036,43.87093
1990,40.24,41.9,43.74,CPV,Cape Verde,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,43.48037,40.94125,46.17563
1995,40.19,41.84,43.67,CPV,Cape Verde,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,43.68527,41.0457,46.01726
2000,40.13,41.77,43.6,CPV,Cape Verde,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,43.70936,41.11824,46.30004
2005,37.58,39.04,40.66,CPV,Cape Verde,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,43.76875,41.0787,46.43175
2010,35.92,37.27,38.75,CPV,Cape Verde,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,43.68087,40.92937,46.17596
2013,41.3,43.04,44.98,CPV,Cape Verde,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,43.58804,41.10195,46.25664
1990,7.86,8.08,8.3,CRI,Costa Rica,"Latin America, Central",,,12,Latin America and Caribbean ,5,38.4044,36.1086,40.6115
1995,8.19,8.41,8.64,CRI,Costa Rica,"Latin America, Central",,,12,Latin America and Caribbean ,5,39.13721,36.71446,41.54647
2000,8.49,8.71,8.94,CRI,Costa Rica,"Latin America, Central",,,12,Latin America and Caribbean ,5,39.69946,37.47705,41.94328
2005,9.14,9.36,9.59,CRI,Costa Rica,"Latin America, Central",,,12,Latin America and Caribbean ,5,40.11321,37.53581,42.5021
2010,8.76,8.98,9.21,CRI,Costa Rica,"Latin America, Central",,,12,Latin America and Caribbean ,5,40.39823,38.00907,42.80782
2013,9.09,9.31,9.54,CRI,Costa Rica,"Latin America, Central",,,12,Latin America and Caribbean ,5,40.61463,38.30536,43.03767
1990,9.27,9.49,9.72,CUB,Cuba,Caribbean,,,7,Latin America and Caribbean ,5,48.23175,45.5298,51.15969
1995,9.14,9.36,9.6,CUB,Cuba,Caribbean,,,7,Latin America and Caribbean ,5,48.70509,45.69461,51.60038
2000,9.11,9.33,9.56,CUB,Cuba,Caribbean,,,7,Latin America and Caribbean ,5,48.83535,45.87513,51.77708
2005,8.98,9.2,9.43,CUB,Cuba,Caribbean,,,7,Latin America and Caribbean ,5,48.61688,45.82132,51.55327
2010,8.19,8.41,8.64,CUB,Cuba,Caribbean,,,7,Latin America and Caribbean ,5,48.10699,45.36751,50.84229
2013,10.66,10.97,11.34,CUB,Cuba,Caribbean,,,7,Latin America and Caribbean ,5,48.05376,45.38902,50.92481
1990,19.78,20.23,20.7,CYP,Cyprus,"Europe, Western",,,10,High income,1,68.10841,63.9069,72.18852
1995,18.77,19.18,19.6,CYP,Cyprus,"Europe, Western",,,10,High income,1,68.68287,64.85399,72.56271
2000,18.44,18.84,19.25,CYP,Cyprus,"Europe, Western",,,10,High income,1,68.96542,64.71175,73.24634
2005,18.21,18.6,19,CYP,Cyprus,"Europe, Western",,,10,High income,1,68.8026,64.60238,73.06966
2010,17.16,17.52,17.88,CYP,Cyprus,"Europe, Western",,,10,High income,1,68.32628,63.93513,72.55338
2013,16.11,16.45,16.77,CYP,Cyprus,"Europe, Western",,,10,High income,1,68.34663,63.99416,72.69346
1990,31.72,32.81,34,CZE,Czech Republic,"Europe, Central",,,8,"Central Europe, Eastern Europe, Central Asia",4,58.28611,54.67363,61.54162
1995,23.83,24.47,25.16,CZE,Czech Republic,"Europe, Central",,,8,"Central Europe, Eastern Europe, Central Asia",4,58.40326,54.95877,61.80031
2000,18.2,18.6,18.99,CZE,Czech Republic,"Europe, Central",,,8,"Central Europe, Eastern Europe, Central Asia",4,58.47027,55.21711,61.99251
2005,17.98,18.36,18.75,CZE,Czech Republic,"Europe, Central",,,8,"Central Europe, Eastern Europe, Central Asia",4,58.40036,54.89829,61.87567
2010,16.28,16.62,16.94,CZE,Czech Republic,"Europe, Central",,,8,"Central Europe, Eastern Europe, Central Asia",4,57.98729,54.67791,61.26138
2013,16.2,16.55,16.86,CZE,Czech Republic,"Europe, Central",,,8,"Central Europe, Eastern Europe, Central Asia",4,58.01736,54.59275,61.58969
1990,28.83,29.74,30.74,DEU,Germany,"Europe, Western",,,10,High income,1,54.60513,51.40808,57.6924
1995,22.18,22.74,23.34,DEU,Germany,"Europe, Western",,,10,High income,1,55.13675,51.99347,58.39082
2000,17.53,17.91,18.27,DEU,Germany,"Europe, Western",,,10,High income,1,55.60586,52.35754,58.91757
2005,17.05,17.41,17.77,DEU,Germany,"Europe, Western",,,10,High income,1,55.52764,52.27186,58.90826
2010,15.66,15.99,16.29,DEU,Germany,"Europe, Western",,,10,High income,1,55.31715,52.05307,58.88549
2013,15.03,15.34,15.64,DEU,Germany,"Europe, Western",,,10,High income,1,55.33424,52.06445,58.55851
1990,19.99,20.45,20.93,DJI,Djibouti,"Sub-Saharan Africa, East",,,19,Sub-Saharan Africa,7,45.78791,43.06509,48.5613
1995,19.96,20.42,20.91,DJI,Djibouti,"Sub-Saharan Africa, East",,,19,Sub-Saharan Africa,7,46.17425,43.23103,48.95126
2000,20.13,20.59,21.08,DJI,Djibouti,"Sub-Saharan Africa, East",,,19,Sub-Saharan Africa,7,46.55734,43.84843,49.37007
2005,20.73,21.22,21.74,DJI,Djibouti,"Sub-Saharan Africa, East",,,19,Sub-Saharan Africa,7,46.98775,44.10366,49.78462
2010,23.52,24.14,24.81,DJI,Djibouti,"Sub-Saharan Africa, East",,,19,Sub-Saharan Africa,7,47.22516,44.49957,50.06859
2013,27.2,28.02,28.92,DJI,Djibouti,"Sub-Saharan Africa, East",,,19,Sub-Saharan Africa,7,47.47006,44.7465,50.32544
1990,14.06,14.34,14.63,DMA,Dominica,Caribbean,,,7,Latin America and Caribbean ,5,39.96497,37.62714,42.27377
1995,14.06,14.35,14.63,DMA,Dominica,Caribbean,,,7,Latin America and Caribbean ,5,40.15195,37.82001,42.53443
2000,14.05,14.34,14.62,DMA,Dominica,Caribbean,,,7,Latin America and Caribbean ,5,40.33639,37.98888,42.73407
2005,14.51,14.8,15.09,DMA,Dominica,Caribbean,,,7,Latin America and Caribbean ,5,40.37682,37.92638,42.72186
2010,14.54,14.83,15.13,DMA,Dominica,Caribbean,,,7,Latin America and Caribbean ,5,40.49975,38.01586,42.837
2013,15.09,15.39,15.7,DMA,Dominica,Caribbean,,,7,Latin America and Caribbean ,5,40.49092,38.17072,42.93793
1990,17.91,18.3,18.69,DNK,Denmark,"Europe, Western",,,10,High income,1,49.30415,46.28259,52.16097
1995,14.62,14.92,15.22,DNK,Denmark,"Europe, Western",,,10,High income,1,49.65656,46.79446,52.64846
2000,12.22,12.47,12.73,DNK,Denmark,"Europe, Western",,,10,High income,1,49.7699,46.96189,52.64762
2005,11.2,11.43,11.68,DNK,Denmark,"Europe, Western",,,10,High income,1,49.91613,47.02097,52.85762
2010,10.39,10.62,10.85,DNK,Denmark,"Europe, Western",,,10,High income,1,50.03028,47.17185,52.93569
2013,11.17,11.4,11.63,DNK,Denmark,"Europe, Western",,,10,High income,1,50.10737,47.06486,53.11658
1990,11.38,11.62,11.86,DOM,Dominican Republic,Caribbean,,,7,Latin America and Caribbean ,5,44.17933,41.54224,46.91799
1995,11.64,11.88,12.13,DOM,Dominican Republic,Caribbean,,,7,Latin America and Caribbean ,5,44.67059,42.06314,47.33324
2000,11.73,11.97,12.22,DOM,Dominican Republic,Caribbean,,,7,Latin America and Caribbean ,5,45.27901,42.60708,47.80072
2005,11.26,11.5,11.74,DOM,Dominican Republic,Caribbean,,,7,Latin America and Caribbean ,5,45.3303,42.6172,47.85242
2010,10.88,11.11,11.35,DOM,Dominican Republic,Caribbean,,,7,Latin America and Caribbean ,5,45.38539,42.61578,48.38416
2013,12.23,12.49,12.74,DOM,Dominican Republic,Caribbean,,,7,Latin America and Caribbean ,5,45.43266,42.75179,47.99149
1990,20.17,20.67,21.2,DZA,Algeria,North Africa / Middle East,,,15,North Africa / Middle East,2,67.24919,63.32665,71.35686
1995,20.14,20.64,21.16,DZA,Algeria,North Africa / Middle East,,,15,North Africa / Middle East,2,68.06068,64.19562,72.08668
2000,20.04,20.53,21.06,DZA,Algeria,North Africa / Middle East,,,15,North Africa / Middle East,2,68.76193,64.72569,72.81956
2005,19.65,20.13,20.64,DZA,Algeria,North Africa / Middle East,,,15,North Africa / Middle East,2,69.05108,65.30228,73.09234
2010,18.71,19.15,19.61,DZA,Algeria,North Africa / Middle East,,,15,North Africa / Middle East,2,69.37398,65.14124,73.58078
2013,18.81,19.26,19.73,DZA,Algeria,North Africa / Middle East,,,15,North Africa / Middle East,2,69.70429,65.61748,73.9372
1990,7.81,8.01,8.23,ECU,Ecuador,"Latin America, Andean",,,11,Latin America and Caribbean ,5,32.96514,31.05705,34.92906
1995,7.81,8.01,8.23,ECU,Ecuador,"Latin America, Andean",,,11,Latin America and Caribbean ,5,33.46308,31.50255,35.53183
2000,8.17,8.38,8.59,ECU,Ecuador,"Latin America, Andean",,,11,Latin America and Caribbean ,5,34.44507,32.2903,36.54163
2005,9.41,9.63,9.85,ECU,Ecuador,"Latin America, Andean",,,11,Latin America and Caribbean ,5,36.41648,34.14407,38.64221
2010,10.73,10.95,11.19,ECU,Ecuador,"Latin America, Andean",,,11,Latin America and Caribbean ,5,38.76466,36.45621,40.98675
2013,13.62,13.9,14.18,ECU,Ecuador,"Latin America, Andean",,,11,Latin America and Caribbean ,5,39.89738,37.53451,42.29804
1990,34.62,35.9,37.32,EGY,Egypt,North Africa / Middle East,,,15,North Africa / Middle East,2,67.94526,63.7842,71.88471
1995,35.6,36.94,38.42,EGY,Egypt,North Africa / Middle East,,,15,North Africa / Middle East,2,68.85275,64.79232,72.74744
2000,36.18,37.56,39.09,EGY,Egypt,North Africa / Middle East,,,15,North Africa / Middle East,2,69.66541,65.57455,73.88721
2005,35.73,37.07,38.56,EGY,Egypt,North Africa / Middle East,,,15,North Africa / Middle East,2,69.97846,65.52203,73.97911
2010,33.75,34.97,36.31,EGY,Egypt,North Africa / Middle East,,,15,North Africa / Middle East,2,70.0359,65.77702,74.20823
2013,35.07,36.39,37.84,EGY,Egypt,North Africa / Middle East,,,15,North Africa / Middle East,2,70.08681,65.78687,74.29129
1990,22.22,22.79,23.39,ERI,Eritrea,"Sub-Saharan Africa, East",,,19,Sub-Saharan Africa,7,46.1637,43.39598,48.79009
1995,22.15,22.71,23.31,ERI,Eritrea,"Sub-Saharan Africa, East",,,19,Sub-Saharan Africa,7,46.54801,43.68077,49.59634
2000,22.19,22.76,23.36,ERI,Eritrea,"Sub-Saharan Africa, East",,,19,Sub-Saharan Africa,7,46.71321,43.92398,49.6477
2005,22.87,23.46,24.1,ERI,Eritrea,"Sub-Saharan Africa, East",,,19,Sub-Saharan Africa,7,46.98996,44.32021,49.83693
2010,23.53,24.16,24.83,ERI,Eritrea,"Sub-Saharan Africa, East",,,19,Sub-Saharan Africa,7,47.08443,44.04649,49.86724
2013,24.15,24.81,25.52,ERI,Eritrea,"Sub-Saharan Africa, East",,,19,Sub-Saharan Africa,7,47.10573,44.11793,49.94859
1990,17.44,17.81,18.18,ESP,Spain,"Europe, Western",,,10,High income,1,64.66093,60.77973,68.46933
1995,17.15,17.52,17.88,ESP,Spain,"Europe, Western",,,10,High income,1,65.20173,61.29491,69.17146
2000,16.56,16.91,17.25,ESP,Spain,"Europe, Western",,,10,High income,1,65.28584,61.22474,69.34605
2005,14.91,15.22,15.52,ESP,Spain,"Europe, Western",,,10,High income,1,64.26495,60.41559,68.1256
2010,12.51,12.77,13.02,ESP,Spain,"Europe, Western",,,10,High income,1,62.75881,59.227,66.4285
2013,11.41,11.65,11.89,ESP,Spain,"Europe, Western",,,10,High income,1,62.18564,58.48285,65.95716
1990,13.75,14.02,14.3,EST,Estonia,"Europe, Eastern",,,9,"Central Europe, Eastern Europe, Central Asia",4,51.17934,47.98132,54.4581
1995,11,11.24,11.48,EST,Estonia,"Europe, Eastern",,,9,"Central Europe, Eastern Europe, Central Asia",4,49.89966,47.02734,52.73079
2000,9.5,9.72,9.95,EST,Estonia,"Europe, Eastern",,,9,"Central Europe, Eastern Europe, Central Asia",4,48.86737,45.90039,51.82712
2005,9.1,9.33,9.56,EST,Estonia,"Europe, Eastern",,,9,"Central Europe, Eastern Europe, Central Asia",4,48.34436,45.53199,51.32889
2010,9.27,9.5,9.73,EST,Estonia,"Europe, Eastern",,,9,"Central Europe, Eastern Europe, Central Asia",4,48.03052,45.07317,50.90362
2013,8.87,9.09,9.32,EST,Estonia,"Europe, Eastern",,,9,"Central Europe, Eastern Europe, Central Asia",4,47.65372,44.77983,50.71961
1990,15.65,15.98,16.29,ETH,Ethiopia,"Sub-Saharan Africa, East",,,19,Sub-Saharan Africa,7,51.42585,48.52111,54.51331
1995,15.68,16.02,16.32,ETH,Ethiopia,"Sub-Saharan Africa, East",,,19,Sub-Saharan Africa,7,51.55754,48.46547,54.69597
2000,15.74,16.07,16.38,ETH,Ethiopia,"Sub-Saharan Africa, East",,,19,Sub-Saharan Africa,7,51.5481,48.32283,54.65156
2005,16.47,16.82,17.15,ETH,Ethiopia,"Sub-Saharan Africa, East",,,19,Sub-Saharan Africa,7,51.48158,48.51176,54.43546
2010,16.68,17.04,17.38,ETH,Ethiopia,"Sub-Saharan Africa, East",,,19,Sub-Saharan Africa,7,51.47371,48.44386,54.74332
2013,17.22,17.59,17.97,ETH,Ethiopia,"Sub-Saharan Africa, East",,,19,Sub-Saharan Africa,7,51.53774,48.49181,54.71375
1990,9.34,9.55,9.78,FIN,Finland,"Europe, Western",,,10,High income,1,48.48228,45.37128,51.64269
1995,8.03,8.24,8.46,FIN,Finland,"Europe, Western",,,10,High income,1,48.00631,45.33489,50.92734
2000,7.32,7.53,7.75,FIN,Finland,"Europe, Western",,,10,High income,1,47.41803,44.52119,50.29093
2005,7.78,7.99,8.21,FIN,Finland,"Europe, Western",,,10,High income,1,47.20075,44.48134,49.90779
2010,7.21,7.41,7.63,FIN,Finland,"Europe, Western",,,10,High income,1,46.82908,43.84249,49.61073
2013,6.84,7.03,7.24,FIN,Finland,"Europe, Western",,,10,High income,1,45.95051,43.20755,48.60667
1990,7.28,7.5,7.72,FJI,Fiji,Oceania,,,17,"Southeast Asia, East Asia and Oceania",6,35.74784,33.6572,37.87949
1995,7.26,7.47,7.7,FJI,Fiji,Oceania,,,17,"Southeast Asia, East Asia and Oceania",6,35.59333,33.3915,37.81041
2000,7.24,7.45,7.68,FJI,Fiji,Oceania,,,17,"Southeast Asia, East Asia and Oceania",6,35.47866,33.37273,37.63008
2005,7.22,7.43,7.66,FJI,Fiji,Oceania,,,17,"Southeast Asia, East Asia and Oceania",6,35.6433,33.49446,37.77674
2010,7.28,7.5,7.72,FJI,Fiji,Oceania,,,17,"Southeast Asia, East Asia and Oceania",6,35.8574,33.70045,38.09692
2013,7.27,7.49,7.71,FJI,Fiji,Oceania,,,17,"Southeast Asia, East Asia and Oceania",6,36.04715,33.85688,38.29089
1990,22.17,22.75,23.37,FRA,France,"Europe, Western",,,10,High income,1,57.89613,54.36928,61.57642
1995,19.68,20.14,20.63,FRA,France,"Europe, Western",,,10,High income,1,57.93062,54.52714,61.47966
2000,17.46,17.84,18.22,FRA,France,"Europe, Western",,,10,High income,1,57.77776,54.15374,61.52447
2005,16.37,16.71,17.05,FRA,France,"Europe, Western",,,10,High income,1,57.58344,54.15913,60.94246
2010,14.73,15.04,15.33,FRA,France,"Europe, Western",,,10,High income,1,56.97748,53.53075,60.35535
2013,13.74,14.02,14.29,FRA,France,"Europe, Western",,,10,High income,1,56.94271,53.63439,60.20914
1990,1.12,1.17,1.22,FSM,Federated States of Micronesia,Oceania,,,17,"Southeast Asia, East Asia and Oceania",6,32.14407,30.19605,34.17605
1995,1.1,1.15,1.2,FSM,Federated States of Micronesia,Oceania,,,17,"Southeast Asia, East Asia and Oceania",6,32.13549,30.20467,34.06466
2000,1.09,1.14,1.19,FSM,Federated States of Micronesia,Oceania,,,17,"Southeast Asia, East Asia and Oceania",6,32.28745,30.32558,34.25324
2005,3.31,3.44,3.58,FSM,Federated States of Micronesia,Oceania,,,17,"Southeast Asia, East Asia and Oceania",6,32.56158,30.63726,34.69129
2010,4.12,4.28,4.44,FSM,Federated States of Micronesia,Oceania,,,17,"Southeast Asia, East Asia and Oceania",6,32.82347,30.81831,34.73666
2013,4.21,4.36,4.53,FSM,Federated States of Micronesia,Oceania,,,17,"Southeast Asia, East Asia and Oceania",6,32.99915,31.16226,34.9308
1990,12.26,12.51,12.76,GAB,Gabon,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,50.56298,47.63933,53.61834
1995,12.08,12.33,12.58,GAB,Gabon,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,50.67341,47.79056,53.59046
2000,12.02,12.26,12.51,GAB,Gabon,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,50.82796,47.8277,53.71126
2005,10.14,10.37,10.6,GAB,Gabon,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,50.72152,47.5955,53.63739
2010,9.53,9.75,9.98,GAB,Gabon,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,50.80195,47.82678,53.69909
2013,10.69,10.92,11.15,GAB,Gabon,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,50.74709,47.56449,53.84734
1990,19.3,19.74,20.2,GBR,United Kingdom,"Europe, Western",,,10,High income,1,40.7454,38.37753,43.34544
1995,16.64,16.99,17.34,GBR,United Kingdom,"Europe, Western",,,10,High income,1,43.21191,40.55983,45.84165
2000,14.26,14.55,14.83,GBR,United Kingdom,"Europe, Western",,,10,High income,1,45.47467,42.74293,48.19962
2005,12.41,12.67,12.92,GBR,United Kingdom,"Europe, Western",,,10,High income,1,47.06627,44.25536,49.77767
2010,11.15,11.39,11.63,GBR,United Kingdom,"Europe, Western",,,10,High income,1,48.46455,45.52135,51.30717
2013,10.57,10.8,11.04,GBR,United Kingdom,"Europe, Western",,,10,High income,1,49.54396,46.455,52.51867
1990,19.95,20.42,20.92,GEO,Georgia,"Asia, Central",,,2,"Central Europe, Eastern Europe, Central Asia",4,60.35958,56.85055,63.74983
1995,17.34,17.71,18.08,GEO,Georgia,"Asia, Central",,,2,"Central Europe, Eastern Europe, Central Asia",4,59.5254,55.83179,63.2308
2000,16.35,16.7,17.03,GEO,Georgia,"Asia, Central",,,2,"Central Europe, Eastern Europe, Central Asia",4,59.12986,55.55833,62.58438
2005,16.5,16.85,17.18,GEO,Georgia,"Asia, Central",,,2,"Central Europe, Eastern Europe, Central Asia",4,58.80872,55.10894,62.16454
2010,16.89,17.25,17.6,GEO,Georgia,"Asia, Central",,,2,"Central Europe, Eastern Europe, Central Asia",4,58.85257,55.47609,62.51984
2013,15.18,15.5,15.8,GEO,Georgia,"Asia, Central",,,2,"Central Europe, Eastern Europe, Central Asia",4,58.72166,55.07539,62.04877
1990,21.96,22.52,23.12,GHA,Ghana,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,65.34063,61.471,69.29612
1995,21.96,22.53,23.13,GHA,Ghana,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,66.00517,61.96735,70.00831
2000,21.92,22.48,23.08,GHA,Ghana,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,66.45612,62.15976,70.43812
2005,23.14,23.76,24.42,GHA,Ghana,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,66.66332,62.42216,70.88844
2010,22.44,23.01,23.63,GHA,Ghana,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,66.58045,62.67902,70.29855
2013,25.76,26.53,27.36,GHA,Ghana,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,66.66673,62.74717,70.53799
1990,25.85,26.6,27.43,GIN,Guinea,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,57.99284,54.73638,61.60201
1995,25.57,26.31,27.12,GIN,Guinea,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,58.93707,55.61314,62.54305
2000,25.34,26.07,26.86,GIN,Guinea,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,59.5527,55.83587,63.14896
2005,24.85,25.56,26.32,GIN,Guinea,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,59.75508,56.40461,63.32295
2010,23.51,24.14,24.83,GIN,Guinea,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,59.66507,55.8573,63.11344
2013,26.22,27.01,27.87,GIN,Guinea,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,59.86908,56.16581,63.35405
1990,33.89,35.12,36.46,GMB,The Gambia,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,45.88774,43.08441,48.66353
1995,33.77,34.98,36.32,GMB,The Gambia,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,46.25975,43.59634,48.91664
2000,33.7,34.91,36.23,GMB,The Gambia,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,46.4133,43.81419,49.33746
2005,33.29,34.47,35.77,GMB,The Gambia,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,46.43703,43.42822,49.34306
2010,32.38,33.51,34.74,GMB,The Gambia,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,46.36706,43.4797,49.22461
2013,33.58,34.78,36.1,GMB,The Gambia,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,46.44639,43.61577,49.0498
1990,32,33.1,34.31,GNB,Guinea-Bissau,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,51.46803,48.29292,54.49622
1995,31.96,33.07,34.27,GNB,Guinea-Bissau,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,51.97412,48.69024,55.14053
2000,31.93,33.03,34.23,GNB,Guinea-Bissau,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,52.22496,49.33808,55.36436
2005,30.18,31.16,32.25,GNB,Guinea-Bissau,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,52.35263,49.11396,55.41535
2010,28.61,29.5,30.49,GNB,Guinea-Bissau,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,52.27288,49.02246,55.26954
2013,29.26,30.19,31.22,GNB,Guinea-Bissau,"Sub-Saharan Africa, West",,,21,Sub-Saharan Africa,7,52.20316,48.89762,55.2561
1990,10.54,10.77,11.01,GNQ,Equatorial Guinea,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,52.68526,49.71571,55.7139
1995,10.47,10.7,10.93,GNQ,Equatorial Guinea,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,53.0044,49.91437,56.19533
2000,10.37,10.59,10.83,GNQ,Equatorial Guinea,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,53.17551,49.80905,56.47022
2005,11.24,11.48,11.73,GNQ,Equatorial Guinea,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,53.06624,49.76289,56.27446
2010,9.84,10.06,10.3,GNQ,Equatorial Guinea,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,52.97103,49.76741,56.15196
2013,11.02,11.25,11.48,GNQ,Equatorial Guinea,"Sub-Saharan Africa, Central",,,18,Sub-Saharan Africa,7,52.94701,49.81772,56.03427
1990,22.45,23.03,23.64,GRC,Greece,"Europe, Western",,,10,High income,1,72.19839,67.77622,76.55129
1995,20.43,20.91,21.42,GRC,Greece,"Europe, Western",,,10,High income,1,71.88725,67.54504,76.25875
2000,18.83,19.25,19.67,GRC,Greece,"Europe, Western",,,10,High income,1,71.43052,66.81006,75.69765
2005,17.75,18.13,18.51,GRC,Greece,"Europe, Western",,,10,High income,1,70.66551,66.34518,74.80939
2010,16.74,17.09,17.43,GRC,Greece,"Europe, Western",,,10,High income,1,69.92645,65.72443,74.19331
2013,15.05,15.36,15.66,GRC,Greece,"Europe, Western",,,10,High income,1,69.69581,65.4556,73.90727
